"","PID","HHID","Sex","Ethnicity","Age","BMI","Grip","Religion","ReligionPublic","ReligionPrivate","GodInequality","EducationYears","PeaceVote","AbortionLegal","QueerMarriageOK","DrugsLegal","GiveOther","LeaveOther","ReduceOther","ChildrenAlive","hh_wealth","RelPub","RelPri","GodIneq","community"
"374","ZT0","A23","F","MESTIZO",21.8333333333333,18.4672206832872,"UNKNOWN","CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","NO",16,"DISAGREE","DISAGREE","DISAGREE","AGREE",2,104,0,1,12286,2,1,2,"highland"
"375","ZZJ","N7W","F","MESTIZO",44.75,22.6378352062964,"UNKNOWN","CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","NO",5,"AGREE","DISAGREE","DISAGREE","DISAGREE",10,9,0,0,3900,2,1,2,"highland"
"376","Q1C","G64","F","MESTIZO",44.25,24.9989035568615,"UNKNOWN","CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","YES",5,"DISAGREE","DISAGREE","AGREE","DISAGREE",NA,NA,NA,4,1942.1,2,1,1,"highland"
"377","SBR","G64","M","MESTIZO",47.1666666666667,27.0992510068125,"UNKNOWN","CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","YES",4,"AGREE","DISAGREE","DISAGREE","DISAGREE",NA,NA,NA,4,1942.1,2,1,1,"highland"
"378","B3Q","Z9F","M","MESTIZO",40.75,29.757785467128,"UNKNOWN","CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERMONTH","YES",8,"DISAGREE","DISAGREE","DISAGREE","DISAGREE",NA,NA,NA,2,17330,2,2,1,"highland"
"379","M05","QNE","M","MESTIZO",32.75,19.9183673469388,"UNKNOWN","SPIRITUAL","NEVER","EVERYDAY","UNKNOWN",16,"AGREE","AGREE","AGREE","AGREE",NA,NA,NA,0,9641.9,2,1,2,"highland"
"380","EF6","G64","F","MESTIZO",18.1666666666667,29.9967126890204,"UNKNOWN","CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","NO",6,"DISAGREE","AGREE","AGREE","DISAGREE",NA,NA,NA,1,1942.1,2,1,2,"highland"
"381","DAQ","FMS","F","MESTIZO",24.75,18.1705952702442,"UNKNOWN","CATHOLIC","AFEWTIMESPERYEAR","AFEWTIMESPERMONTH","NO",12,"DISAGREE","DISAGREE","DISAGREE","AGREE",NA,NA,NA,2,29332,2,2,2,"highland"
"382","A05","JNH","M","MESTIZO",33.6666666666667,27.2979384543419,"UNKNOWN","NONE","NEVER","NEVER","YES",6,"AGREE","DISAGREE","AGREE","DISAGREE",NA,NA,NA,1,11802,2,2,1,"highland"
"383","BGQ","BHH","M","MESTIZO",42.1666666666667,30.4866850321396,"UNKNOWN","NONE","NEVER","EVERYDAY","YES",6,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",NA,NA,NA,3,2849,2,1,1,"highland"
"384","VDE","D5T","M","MESTIZO",39.4166666666667,24.6221837490898,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",10.5,"AGREE","AGREE","AGREE","AGREE",NA,NA,NA,1,16610,2,2,2,"highland"
"385","NAM","EX1","F","MESTIZO",21.5,21.875,"UNKNOWN","CATHOLIC","AFEWTIMESPERYEAR","NEVER","DONTKNOW",13,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",NA,NA,NA,2,5606,2,2,2,"highland"
"386","HU4","AHN","M","MESTIZO",52.5,23.2550186382135,"UNKNOWN","CATHOLIC","MORETHANONCEPERWEEK","EVERYDAY","NO",11,"AGREE","DISAGREE","DISAGREE","AGREE",NA,NA,NA,3,13800,1,1,2,"highland"
"387","D76","P9G","F","MESTIZO",17.5833333333333,21.0961905148282,"UNKNOWN","CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERWEEK","NO",11,"DISAGREE","DISAGREE","AGREE","DISAGREE",NA,NA,NA,0,42886,2,2,2,"highland"
"388","A87","BHH","M","MESTIZO",49.3333333333333,28.9590001524158,"UNKNOWN","NONE","NEVER","EVERYDAY","YES",6,"AGREE","DISAGREE","DISAGREE","AGREE",NA,NA,NA,3,2849,2,1,1,"highland"
"389","R13","P9G","M","MESTIZO",45.6666666666667,30.7893990929705,"UNKNOWN","CATHOLIC","AFEWTIMESPERYEAR","NEVER","NO",5,"DISAGREE","AGREE","DISAGREE","AGREE",NA,NA,NA,6,42886,2,2,2,"highland"
"390","G3R","XFR","F","MESTIZO",65.5,22.2222222222222,"UNKNOWN","CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","NO",2,"DISAGREE","DISAGREE","DISAGREE","DISAGREE",NA,NA,NA,4,4907,2,1,2,"highland"
"391","CTJ","QNE","M","MESTIZO",29.6666666666667,21.2002540116588,"UNKNOWN","CHRISTIAN","NEVER","EVERYDAY","NO",20,"AGREE","AGREE","AGREE","AGREE",NA,NA,NA,0,9641.9,2,1,2,"highland"
"392","R3M","P9G","F","MESTIZO",45.8333333333333,27.9708636836628,"UNKNOWN","CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","NO",11,"DISAGREE","DISAGREE","AGREE","DISAGREE",NA,NA,NA,1,42886,2,1,2,"highland"
"393","U4B","D9Y","F","MESTIZO",23.6666666666667,20.1950922115531,"UNKNOWN","CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","NO",12,"DISAGREE","DISAGREE","AGREE","DISAGREE",NA,NA,NA,0,9440,2,1,2,"highland"
"394","YAH","DWY","F","MESTIZO",47,26.9127258746636,"UNKNOWN","CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","YES",5,"AGREE","AGREE","DISAGREE","DISAGREE",NA,NA,NA,2,8370,2,1,1,"highland"
"395","R5A","BHH","M","MESTIZO",29.25,28.7104793249536,"UNKNOWN","NONE","AFEWTIMESPERYEAR","EVERYDAY","YES",14,"AGREE","DISAGREE","DISAGREE","AGREE",NA,NA,NA,0,2849,2,1,1,"highland"
"396","DFN","V8B","M","MESTIZO",17.8333333333333,21.8699296917253,"UNKNOWN","CATHOLIC","AFEWTIMESPERYEAR","AFEWTIMESPERWEEK","NO",8,"DONTKNOW","DISAGREE","DISAGREE","DONTKNOW",NA,NA,NA,0,6637.1,2,2,2,"highland"
"397","XZ8","DY8","M","MESTIZO",24.8333333333333,25.3515413737155,"UNKNOWN","SPIRITUAL","AFEWTIMESPERYEAR","NEVER","NO",16,"AGREE","AGREE","AGREE","AGREE",NA,NA,NA,NA,22075,2,2,2,"highland"
"398","H9A","XMM","M","MESTIZO",22.25,23.9394809920521,"UNKNOWN","CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERMONTH","NO",16,"AGREE","DISAGREE","AGREE","DISAGREE",NA,NA,NA,0,6860,2,2,2,"highland"
"399","PPB","HT7","M","MESTIZO",50.5,24.2239967924087,"UNKNOWN","CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERWEEK","YES",5,"DISAGREE","DISAGREE","DISAGREE","AGREE",NA,NA,NA,1,3020,2,2,1,"highland"
"400","YGY","A3C","M","MESTIZO",25.9166666666667,21.5497149413747,"UNKNOWN","SPIRITUAL","AFEWTIMESPERMONTH","AFEWTIMESPERWEEK","YES",11,"AGREE","AGREE","DISAGREE","AGREE",NA,NA,NA,2,6001,2,2,1,"highland"
"401","H27","QNE","F","MESTIZO",23.8333333333333,25.4028160836116,"UNKNOWN","SPIRITUAL","NEVER","UNKNOWN","UNKNOWN",18,"AGREE","AGREE","AGREE","AGREE",NA,NA,NA,0,9641.9,2,2,2,"highland"
"402","PG3","P3X","F","MESTIZO",20.6666666666667,21.102580918946,"UNKNOWN","CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERWEEK","NO",11.5,"DISAGREE","DISAGREE","DISAGREE","DISAGREE",NA,NA,NA,0,17365,2,2,2,"highland"
"403","AUH","B6C","M","MESTIZO",62.8333333333333,32.9152494331066,"37.9","CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","YES",9,"DISAGREE","DISAGREE","DISAGREE","DISAGREE",8,65,0,2,8112.2,2,1,1,"altiplano"
"404","AX0","HHQ","M","MESTIZO",18,22.3214285714286,"54.525","NONE","NEVER","EVERYDAY","DONTKNOW",5,"AGREE","DISAGREE","DONTKNOW","DISAGREE",10,55,0,0,28314.2,2,1,2,"altiplano"
